order_id,order_date,customer_id,region,channel,category,quantity,unit_price,discount_rate,revenue,delivery_days
ORD-0001,2025-01-01,00029,South,Online,Accessories,2,19.99,0.05,37.98,9
ORD-0002,2025-01-02,00012,North,Online,Office,2,129.00,0.00,258.00,9
ORD-0003,2025-01-03,00029,West,Store,Home,1,39.50,0.15,33.57,1
ORD-0004,2025-01-04,00020,East,Online,Home,3,129.00,0.05,367.65,2
ORD-0005,2025-01-05,00045,East,Partner,Home,2,129.00,0.00,258.00,1
ORD-0006,2025-01-06,00071,North,Store,Home,8,19.99,0.10,143.93,10
ORD-0007,2025-01-07,00038,South,Online,Office,4,19.99,0.00,79.96,2
ORD-0008,2025-01-08,00021,East,Store,Home,7,79.00,0.10,497.70,4
ORD-0009,2025-01-09,00069,South,Partner,Office,5,19.99,0.15,84.96,3
ORD-0010,2025-01-10,00088,South,Store,Accessories,8,129.00,0.05,980.40,4
ORD-0011,2025-01-11,00009,East,Online,Home,1,79.00,0.10,71.10,4
ORD-0012,2025-01-12,00034,South,Online,Office,8,129.00,0.10,928.80,9
ORD-0013,2025-01-13,00047,West,Online,Office,5,129.00,0.15,548.25,9
ORD-0014,2025-01-14,00020,North,Partner,Office,8,19.99,0.00,159.92,7
ORD-0015,2025-01-15,00068,West,Store,Accessories,2,129.00,0.10,232.20,2
ORD-0016,2025-01-16,00056,East,Online,Electronics,5,79.00,0.00,395.00,1
ORD-0017,2025-01-17,00081, north ,Store,Office,5,39.50,0.15,167.88,3
ORD-0018,2025-01-18,00077,North,Store,Electronics,6,39.50,0.15,201.45,1
ORD-0019,2025-01-19,00008,South,Online,Accessories,2,79.00,0.05,150.10,2
ORD-0020,2025-01-20,00017,South,Partner,Electronics,8,19.99,0.15,135.93,9
ORD-0021,2025-01-21,00028,West,Partner,Office,3,79.00,0.15,201.45,5
ORD-0022,2025-01-22,00016,West,Online,Office,7,79.00,0.10,497.70,2
ORD-0023,2025-01-23,00076,South,Online,Accessories,6,$19.99,0.15,101.95,2
ORD-0024,2025-01-24,00043,North,Online,Office,1,39.50,0.00,39.50,5
